0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,0.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,0.0,2.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,11.0,6.0,7.0,3.0,8.0,3.0,5.0,1.0,5.0,7.0,7.0,1.0,0.0,1.0,6.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,13.0,11.0,4.0,6.0,8.0,11.0,10.0,14.0,3.0,10.0,6.0,18.0,9.0,6.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,19.0,8.0,10.0,3.0,12.0,2.0,7.0,1.0,11.0,10.0,12.0,1.0,1.0,0.0,9.0,4.0,2.0,4.0,2.0,1.0,2.0,0.0,17.0,17.0,5.0,10.0,11.0,15.0,16.0,20.0,2.0,3.0,9.0,21.0,17.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,18.0,28.0,14.0,11.0,6.0,17.0,3.0,9.0,1.0,19.0,6.0,19.0,5.0,1.0,0.0,13.0,2.0,4.0,5.0,4.0,2.0,0.0,0.0,27.0,21.0,8.0,12.0,15.0,20.0,8.0,30.0,6.0,4.0,14.0,37.0,10.0,3.0,1.0,1.0,6.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
0.0,1.0,26.0,9.0,20.0,3.0,9.0,8.0,3.0,12.0,2.0,26.0,8.0,23.0,7.0,2.0,0.0,14.0,3.0,7.0,6.0,0.0,3.0,2.0,0.0,33.0,12.0,14.0,15.0,3.0,5.0,16.0,42.0,11.0,12.0,17.0,46.0,16.0,8.0,1.0,2.0,6.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
0.0,1.0,9.0,14.0,29.0,5.0,13.0,13.0,5.0,0.0,3.0,2.0,14.0,32.0,12.0,3.0,2.0,14.0,6.0,8.0,6.0,0.0,3.0,0.0,0.0,38.0,15.0,17.0,16.0,7.0,10.0,22.0,51.0,13.0,3.0,9.0,55.0,29.0,12.0,0.0,3.0,7.0,3.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0
0.0,1.0,16.0,16.0,7.0,9.0,17.0,19.0,7.0,2.0,3.0,9.0,23.0,9.0,14.0,4.0,3.0,19.0,9.0,5.0,8.0,2.0,0.0,0.0,0.0,50.0,25.0,21.0,20.0,13.0,17.0,31.0,17.0,15.0,7.0,14.0,72.0,35.0,4.0,0.0,3.0,1.0,5.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0
2.0,1.0,23.0,9.0,14.0,10.0,5.0,27.0,3.0,2.0,0.0,11.0,29.0,21.0,17.0,7.0,6.0,23.0,11.0,6.0,10.0,3.0,1.0,0.0,0.0,63.0,28.0,7.0,26.0,15.0,3.0,10.0,24.0,16.0,14.0,20.0,86.0,41.0,13.0,0.0,1.0,1.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,29.0,18.0,21.0,14.0,8.0,36.0,4.0,3.0,1.0,16.0,10.0,27.0,7.0,11.0,9.0,25.0,7.0,7.0,0.0,4.0,4.0,0.0,0.0,26.0,36.0,10.0,33.0,16.0,5.0,19.0,38.0,8.0,21.0,8.0,23.0,50.0,14.0,0.0,2.0,4.0,7.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,0.0,37.0,27.0,27.0,5.0,10.0,6.0,7.0,3.0,2.0,22.0,19.0,38.0,13.0,13.0,2.0,27.0,9.0,7.0,0.0,4.0,4.0,0.0,0.0,32.0,42.0,16.0,38.0,21.0,9.0,7.0,7.0,9.0,28.0,15.0,41.0,59.0,17.0,0.0,4.0,6.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,47.0,36.0,8.0,13.0,14.0,11.0,10.0,0.0,6.0,3.0,28.0,43.0,17.0,14.0,2.0,29.0,9.0,7.0,0.0,5.0,4.0,0.0,0.0,41.0,46.0,23.0,18.0,22.0,11.0,20.0,19.0,12.0,39.0,24.0,15.0,13.0,20.0,0.0,6.0,2.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,9.0,41.0,18.0,16.0,16.0,16.0,14.0,5.0,6.0,11.0,34.0,11.0,21.0,4.0,2.0,12.0,9.0,5.0,1.0,2.0,4.0,1.0,0.0,12.0,50.0,26.0,21.0,25.0,16.0,28.0,32.0,13.0,9.0,30.0,30.0,30.0,22.0,1.0,5.0,2.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,14.0,52.0,28.0,20.0,3.0,25.0,6.0,7.0,0.0,16.0,43.0,17.0,23.0,4.0,4.0,17.0,11.0,10.0,2.0,4.0,4.0,3.0,0.0,19.0,54.0,27.0,27.0,28.0,24.0,34.0,7.0,2.0,14.0,33.0,43.0,45.0,24.0,3.0,7.0,5.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,29.0,63.0,40.0,5.0,5.0,36.0,9.0,8.0,1.0,21.0,6.0,24.0,4.0,10.0,9.0,20.0,12.0,13.0,2.0,5.0,4.0,3.0,0.0,27.0,7.0,33.0,32.0,12.0,32.0,38.0,17.0,9.0,21.0,38.0,52.0,54.0,4.0,4.0,8.0,6.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,42.0,11.0,45.0,12.0,9.0,12.0,12.0,11.0,1.0,30.0,15.0,36.0,9.0,13.0,0.0,27.0,17.0,13.0,3.0,6.0,4.0,3.0,0.0,19.0,12.0,34.0,10.0,21.0,44.0,48.0,28.0,11.0,26.0,7.0,72.0,72.0,6.0,5.0,9.0,4.0,5.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,50.0,19.0,60.0,14.0,7.0,18.0,16.0,3.0,2.0,4.0,22.0,39.0,12.0,15.0,1.0,35.0,23.0,14.0,5.0,7.0,4.0,0.0,0.0,36.0,15.0,39.0,22.0,24.0,49.0,58.0,35.0,4.0,14.0,14.0,88.0,83.0,9.0,5.0,9.0,5.0,5.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0
0.0,1.0,11.0,45.0,9.0,20.0,7.0,29.0,23.0,4.0,2.0,10.0,28.0,6.0,15.0,11.0,3.0,3.0,27.0,7.0,5.0,9.0,6.0,1.0,0.0,50.0,20.0,9.0,29.0,12.0,60.0,65.0,43.0,5.0,19.0,21.0,17.0,92.0,11.0,5.0,11.0,8.0,9.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0
0.0,1.0,16.0,57.0,16.0,24.0,10.0,35.0,6.0,5.0,0.0,17.0,36.0,20.0,17.0,12.0,6.0,10.0,33.0,8.0,6.0,9.0,7.0,3.0,0.0,59.0,12.0,18.0,36.0,15.0,62.0,20.0,51.0,9.0,4.0,25.0,38.0,106.0,14.0,0.0,0.0,12.0,13.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0
0.0,1.0,27.0,65.0,30.0,28.0,12.0,12.0,12.0,7.0,0.0,22.0,11.0,33.0,3.0,18.0,6.0,18.0,34.0,9.0,5.0,9.0,7.0,0.0,0.0,69.0,22.0,23.0,39.0,19.0,67.0,27.0,57.0,16.0,9.0,33.0,58.0,115.0,19.0,0.0,3.0,13.0,15.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0
0.0,2.0,34.0,12.0,34.0,5.0,14.0,20.0,15.0,9.0,1.0,26.0,17.0,41.0,10.0,19.0,3.0,24.0,5.0,12.0,5.0,9.0,8.0,0.0,0.0,75.0,28.0,29.0,9.0,21.0,16.0,37.0,24.0,21.0,14.0,43.0,19.0,20.0,24.0,0.0,4.0,15.0,18.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0
0.0,2.0,13.0,24.0,43.0,8.0,17.0,28.0,19.0,2.0,1.0,5.0,24.0,53.0,15.0,22.0,6.0,26.0,7.0,13.0,5.0,12.0,8.0,0.0,0.0,93.0,36.0,12.0,13.0,24.0,27.0,47.0,33.0,26.0,24.0,9.0,35.0,30.0,29.0,1.0,0.0,3.0,19.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0
0.0,2.0,22.0,28.0,57.0,12.0,20.0,40.0,11.0,6.0,2.0,10.0,35.0,5.0,23.0,3.0,6.0,14.0,10.0,16.0,7.0,14.0,9.0,1.0,0.0,24.0,44.0,18.0,14.0,9.0,31.0,55.0,50.0,28.0,30.0,15.0,40.0,42.0,31.0,1.0,2.0,5.0,23.0,6.0,0.0,1.0,2.0,1.0,0.0,0.0
0.0,2.0,31.0,11.0,70.0,20.0,5.0,53.0,13.0,9.0,2.0,13.0,42.0,15.0,32.0,6.0,7.0,17.0,13.0,3.0,7.0,14.0,2.0,1.0,0.0,34.0,48.0,24.0,10.0,15.0,40.0,19.0,59.0,40.0,37.0,24.0,62.0,9.0,10.0,1.0,2.0,8.0,26.0,7.0,0.0,2.0,2.0,1.0,0.0,0.0
