0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,0.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,0.0,2.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,11.0,6.0,7.0,3.0,8.0,3.0,5.0,1.0,5.0,7.0,6.0,1.0,0.0,1.0,6.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,13.0,7.0,4.0,2.0,10.0,7.0,10.0,14.0,3.0,10.0,6.0,18.0,9.0,6.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,10.0,19.0,8.0,10.0,3.0,12.0,2.0,7.0,1.0,11.0,10.0,11.0,1.0,1.0,1.0,9.0,4.0,1.0,4.0,1.0,3.0,2.0,0.0,26.0,13.0,5.0,6.0,13.0,11.0,16.0,6.0,5.0,3.0,9.0,21.0,17.0,6.0,0.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,18.0,28.0,14.0,11.0,6.0,17.0,3.0,9.0,1.0,19.0,6.0,18.0,5.0,1.0,1.0,13.0,4.0,3.0,5.0,3.0,4.0,0.0,0.0,10.0,17.0,3.0,8.0,17.0,16.0,24.0,16.0,9.0,4.0,14.0,16.0,25.0,3.0,1.0,1.0,6.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
0.0,1.0,26.0,8.0,20.0,3.0,9.0,8.0,3.0,12.0,2.0,26.0,8.0,22.0,7.0,2.0,0.0,14.0,1.0,6.0,1.0,3.0,5.0,2.0,0.0,16.0,24.0,9.0,11.0,3.0,21.0,8.0,28.0,14.0,12.0,17.0,25.0,31.0,8.0,1.0,2.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
0.0,1.0,34.0,13.0,29.0,5.0,13.0,13.0,5.0,0.0,3.0,1.0,14.0,31.0,12.0,3.0,2.0,19.0,4.0,7.0,1.0,3.0,0.0,2.0,0.0,21.0,27.0,12.0,12.0,7.0,26.0,14.0,37.0,2.0,15.0,9.0,34.0,13.0,12.0,1.0,3.0,7.0,2.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0
0.0,1.0,7.0,15.0,7.0,9.0,17.0,19.0,7.0,2.0,3.0,8.0,23.0,9.0,14.0,3.0,3.0,5.0,7.0,11.0,3.0,5.0,0.0,2.0,0.0,33.0,10.0,16.0,4.0,13.0,7.0,23.0,50.0,4.0,19.0,14.0,51.0,19.0,15.0,0.0,3.0,1.0,4.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0
2.0,1.0,14.0,23.0,14.0,10.0,5.0,27.0,3.0,2.0,0.0,10.0,29.0,21.0,17.0,6.0,6.0,9.0,9.0,1.0,5.0,1.0,1.0,2.0,0.0,46.0,13.0,19.0,10.0,15.0,10.0,29.0,7.0,5.0,7.0,20.0,65.0,25.0,24.0,0.0,4.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,20.0,32.0,21.0,14.0,8.0,36.0,4.0,3.0,1.0,15.0,6.0,27.0,7.0,10.0,9.0,11.0,11.0,2.0,5.0,2.0,4.0,0.0,0.0,14.0,21.0,3.0,17.0,16.0,12.0,38.0,21.0,11.0,14.0,26.0,15.0,34.0,1.0,0.0,1.0,4.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0,0.0,28.0,9.0,27.0,5.0,10.0,6.0,7.0,3.0,2.0,21.0,15.0,38.0,13.0,12.0,1.0,13.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,20.0,27.0,9.0,22.0,5.0,16.0,7.0,28.0,12.0,21.0,33.0,33.0,43.0,4.0,0.0,3.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
